Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1961","1961","1000 Int$","453","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1962","1962","1000 Int$","453","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1963","1963","1000 Int$","453","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1964","1964","1000 Int$","339","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1965","1965","1000 Int$","339","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1966","1966","1000 Int$","339","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1967","1967","1000 Int$","339","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1968","1968","1000 Int$","453","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1969","1969","1000 Int$","430","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1970","1970","1000 Int$","792","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1971","1971","1000 Int$","1131","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1972","1972","1000 Int$","1471","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1973","1973","1000 Int$","1131","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1974","1974","1000 Int$","566","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","152","Gross Production Value (constant 2014-2016 thousand I$)","01929.07","Abaca, manila hemp, raw","1975","1975","1000 Int$","243","E","Estimated value"
