Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1961","1961","ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1961","1961","kg/ha","666.7","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1961","1961","t","400","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1962","1962","ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1962","1962","kg/ha","666.7","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1962","1962","t","400","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1963","1963","ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1963","1963","kg/ha","666.7","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1963","1963","t","400","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1964","1964","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1964","1964","kg/ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1964","1964","t","300","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1965","1965","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1965","1965","kg/ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1965","1965","t","300","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1966","1966","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1966","1966","kg/ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1966","1966","t","300","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1967","1967","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1967","1967","kg/ha","600","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1967","1967","t","300","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1968","1968","ha","300","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01929.07","Abaca, manila hemp, raw","1968","1968","kg/ha","1333.3","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01929.07","Abaca, manila hemp, raw","1968","1968","t","400","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1969","1969","ha","300","E","Estimated value",""
